date,block_number,cumulative_profit_loss,profit_loss,divergence_bp
2023-10-07T16:11:50+00:00,30342893,-0.001628,-0.001628,-20.40
2023-10-08T21:54:35+00:00,30362903,-0.011885,-0.010256,-16.62
2023-10-09T02:35:25+00:00,30366067,-0.010351,0.001533,4.75
2023-10-10T17:13:00+00:00,30391764,-0.000928,0.009423,17.92
2023-10-12T10:54:10+00:00,30420044,0.000225,0.001153,3.20
2023-10-12T17:43:45+00:00,30424669,-0.004597,-0.004822,-16.30
2023-10-13T15:26:50+00:00,30439374,-0.006722,-0.002125,-20.20
2023-10-16T05:21:05+00:00,30481263,-0.003227,0.003495,9.04
2023-10-16T13:35:20+00:00,30486833,-0.006244,-0.003017,-6.26
2023-10-16T15:59:50+00:00,30488465,-0.004362,0.001882,5.99
2023-10-17T10:59:35+00:00,30501342,0.441855,0.446218,6.17
2023-10-17T11:00:15+00:00,30501350,0.671726,0.229871,6.40
2023-10-17T11:01:05+00:00,30501359,0.801485,0.129758,6.17
2023-10-17T11:01:50+00:00,30501368,0.919792,0.118307,6.17
2023-10-17T11:02:40+00:00,30501376,0.950711,0.030918,6.17
2023-10-17T11:03:25+00:00,30501385,0.982441,0.031730,6.17
2023-10-17T11:04:00+00:00,30501392,1.000353,0.017912,5.93
2023-10-17T11:04:50+00:00,30501401,1.093189,0.092835,5.93
2023-10-17T11:05:35+00:00,30501410,1.300526,0.207337,5.93
2023-10-17T11:06:20+00:00,30501417,1.307994,0.007467,5.93
2023-10-17T11:06:55+00:00,30501424,1.314659,0.006664,5.93
2023-10-17T11:09:30+00:00,30501454,1.358076,0.043417,6.40
2023-10-17T11:54:00+00:00,30501947,1.586358,0.228282,28.71
2023-10-17T11:58:10+00:00,30501994,1.601977,0.015618,27.53
2023-10-17T12:01:05+00:00,30502028,1.697860,0.095882,25.63
2023-10-17T13:59:45+00:00,30503335,1.656359,-0.041500,-29.71
2023-10-17T15:08:40+00:00,30504110,1.648759,-0.007599,-1.08
2023-10-17T18:04:55+00:00,30506096,1.616088,-0.032671,-14.33
2023-10-17T22:23:10+00:00,30508995,1.668952,0.052864,6.50
2023-10-17T22:23:55+00:00,30509004,1.700471,0.031518,6.50
2023-10-18T11:28:50+00:00,30517858,1.954116,0.253645,14.46
2023-10-18T12:40:40+00:00,30518665,1.951979,-0.002136,-11.36
2023-10-18T19:47:40+00:00,30523490,1.893507,-0.058471,-34.10
2023-10-18T22:16:40+00:00,30525201,2.128792,0.235284,31.39
2023-10-18T22:17:30+00:00,30525209,2.322287,0.193494,31.39
2023-10-19T00:25:45+00:00,30526659,2.630821,0.308534,30.40
2023-10-19T00:26:30+00:00,30526668,2.745401,0.114580,30.40
