time_since_last_update_cache,is_profit_pool,divergence_value,divergence_bp
0,false,0.001628,20.40
0,false,0.010256,16.62
0,true,0.001533,4.75
0,true,0.009423,17.92
0,true,0.001153,3.20
0,false,0.004822,16.30
0,false,0.002125,20.20
0,true,0.003495,9.04
0,false,0.003017,6.26
8670,true,0.001882,5.99
20,true,0.446218,6.17
60,true,0.229871,6.40
110,true,0.129758,6.17
155,true,0.118307,6.17
205,true,0.030918,6.17
250,true,0.031730,6.17
285,true,0.017912,5.93
335,true,0.092835,5.93
380,true,0.207337,5.93
425,true,0.007467,5.93
460,true,0.006664,5.93
615,true,0.043417,6.40
3285,true,0.228282,28.71
3535,true,0.015618,27.53
3710,true,0.095882,25.63
0,false,0.041500,29.71
4135,false,0.007599,1.08
0,false,0.032671,14.33
0,true,0.052864,6.50
45,true,0.031518,6.50
0,true,0.253645,14.46
4310,false,0.002136,11.36
0,false,0.058471,34.10
8940,true,0.235284,31.39
8990,true,0.193494,31.39
0,true,0.308534,30.40
45,true,0.114580,30.40
475,true,0.191271,30.64
600,true,0.457330,30.88
6940,true,1.549177,27.78
7025,true,0.120396,27.55
0,true,0.065709,33.50
1595,true,2.232878,32.31
1635,true,0.725085,32.07
1885,true,3.335361,29.45
1930,true,0.093607,29.45
2030,true,1.174252,29.45
4735,true,0.421556,26.26
4775,true,0.138712,26.50
7545,false,0.044526,19.65
0,false,0.513504,3.96
1765,false,8.433837,28.03
6660,false,1.579686,15.52
8475,false,0.001295,12.22
8530,true,0.000033,12.88
8740,false,0.001645,15.52
0,false,16.609838,28.54
0,false,0.002624,9.77
5525,true,1.192589,8.97
5580,true,1.193945,8.97
5615,true,1.194928,8.97
5660,true,1.195536,8.97
0,true,0.021202,11.20
0,false,0.101083,11.42
5,false,0.178500,11.42
20,false,0.075528,11.66
25,false,0.194622,11.66
30,false,0.011299,11.66
35,false,0.010933,11.66
40,false,0.017507,11.66
3450,false,0.039457,9.53
3885,false,0.063768,9.30
4550,false,0.003022,9.53
10775,false,0.010464,11.19
10800,false,0.080754,11.19
0,false,0.022915,17.27
5,false,0.029026,17.50
0,false,4.222147,20.81
8580,false,0.031882,19.15
8590,false,0.052332,19.15
0,true,0.003746,17.53
8450,false,0.030984,21.51
0,false,0.897980,22.22
0,true,0.119021,18.95
30,true,0.144368,18.95
40,true,0.618488,18.95
0,false,0.021210,20.66
7680,false,0.193334,15.71
7690,false,0.188704,15.71
7695,false,0.038357,15.71
10615,false,0.052497,16.65
10695,false,1.860133,16.89
10700,false,0.711149,16.89
10705,false,0.417574,16.89
10715,false,0.061837,16.89
10735,false,0.376977,16.89
0,false,0.442570,16.89
15,false,0.065524,16.89
20,false,0.014173,16.89
25,false,0.025647,16.89
475,false,0.016199,16.89
480,false,0.015395,16.89
535,false,0.033394,16.89
580,false,0.943968,17.13
590,false,0.034692,17.13
595,false,0.124845,17.13
600,false,0.018074,17.13
605,false,0.029244,17.13
610,false,0.089193,17.13
755,false,1.152291,16.89
760,false,0.331325,16.89
765,false,0.250153,16.89
770,false,0.032194,16.89
775,false,0.056621,16.89
780,false,0.022866,16.89
785,false,0.010112,16.89
7440,true,0.172316,20.64
7930,true,0.039792,20.16
9680,true,0.100752,15.99
9760,false,0.015548,15.71
0,false,0.021467,19.01
310,true,0.101709,20.00
4070,false,0.129384,23.50
4695,false,0.054803,23.73
4860,false,0.108173,23.50
4865,false,0.040711,23.50
4920,false,0.125210,23.26
5305,false,0.945013,23.50
5310,false,0.211308,23.50
5315,false,0.048833,23.50
5320,false,0.076592,23.50
5450,false,0.394500,23.50
5455,false,0.470847,23.50
5460,false,0.073292,23.50
8690,true,0.228070,26.37
8710,true,0.007186,26.37
8720,true,0.064047,26.13
0,true,3.614781,26.40
50,true,1.424669,26.63
8080,true,0.060779,15.85
10625,true,0.029687,4.27
0,true,0.025563,6.28
60,true,0.059205,6.75
275,true,0.176716,5.09
280,true,0.133406,5.09
285,true,0.001230,5.09
495,true,0.019532,5.80
510,true,0.021510,5.80
520,true,0.032233,5.80
965,true,0.054924,3.44
975,true,0.018597,3.44
1095,true,0.008851,2.26
2655,false,0.015296,3.39
3250,false,0.006792,1.50
3680,true,0.016566,1.55
3700,true,0.012860,2.26
3790,true,0.014300,3.68
3795,true,0.007399,3.68
4160,true,0.043780,6.52
5010,true,0.016169,9.60
5080,true,0.032814,9.36
5125,true,0.015102,9.36
5175,true,0.016609,9.36
5240,true,0.015808,9.12
5765,true,0.011821,7.94
6700,true,0.159092,9.60
6705,true,0.569136,9.60
6710,true,0.139173,9.60
6715,true,0.010235,9.60
6810,true,0.704403,10.54
6815,true,0.068063,10.54
7100,true,0.388717,9.83
7105,true,0.054758,9.36
7115,true,0.011394,9.36
7120,true,0.021902,9.36
7125,true,0.009745,9.36
7240,true,0.472868,6.52
7250,true,0.854642,6.52
7255,true,0.008599,6.52
7260,true,0.011011,6.52
7265,true,0.041448,6.52
10130,false,0.022939,2.91
10135,false,0.003406,2.91
10145,false,0.005946,2.91
10285,false,0.026999,1.73
10285,false,0.238875,1.73
10330,false,0.239115,1.73
10365,false,0.206732,1.49
10410,false,0.106143,1.26
10470,false,0.006712,1.26
0,true,0.200717,8.40
5,true,0.014080,8.40
10,true,0.086037,8.40
10,true,0.007074,8.40
55,true,0.069663,8.40
120,true,0.028525,8.17
635,false,0.037030,1.03
1615,false,0.119754,5.75
1620,false,0.081525,5.75
1620,false,0.183232,5.75
1675,false,0.794891,5.75
1715,false,0.829319,5.98
1750,false,0.830902,5.98
1800,false,0.832217,5.98
1845,false,0.800442,5.75
1890,false,0.801177,5.75
1935,false,0.801646,5.75
9165,true,0.068142,15.19
0,false,1.497386,10.72
40,false,1.401856,10.02
85,false,1.305479,9.31
125,false,1.307431,9.31
170,false,1.176735,8.37
215,false,1.045386,7.43
260,false,0.946611,6.72
295,false,0.347557,6.72
2725,false,0.112456,0.79
3665,true,0.188839,1.97
4570,false,0.117019,1.54
4575,false,0.053581,1.54
4580,false,0.015325,1.54
4805,false,0.179310,2.71
4810,false,0.029564,3.42
4815,false,0.004337,3.42
4820,false,0.011038,3.42
0,false,1.166475,8.20
10,false,0.133829,8.20
35,false,1.069244,7.50
75,false,0.971186,6.80
120,false,0.973041,6.80
165,false,0.873756,6.09
200,false,0.908477,6.33
240,false,0.909284,6.33
285,false,0.909783,6.33
330,false,0.426424,6.33
1485,false,0.003781,4.45
2690,true,0.014100,2.17
2695,false,0.003777,2.11
2710,false,0.053228,2.11
2825,false,0.011573,1.87
2840,false,0.010143,1.64
2910,false,0.029100,1.64
2940,false,0.042593,1.64
2965,false,0.046671,1.40
3105,false,0.012912,1.64
3425,true,0.182587,2.17
7290,true,1.130293,10.49
7590,false,0.032969,9.61
8005,true,1.374941,9.58
0,false,0.014438,6.80
680,false,0.166077,5.86
685,false,0.008404,5.86
780,false,0.019348,6.09
815,false,0.005775,6.09
840,false,0.042319,5.62
855,false,0.028631,5.62
1250,false,0.018886,3.51
1425,false,0.009020,3.75
1495,false,0.038364,3.75
1510,false,0.031475,3.75
1520,false,0.004729,3.75
1525,false,0.008616,3.75
1530,false,0.038837,3.75
1555,false,0.036572,3.04
1560,false,0.018945,3.04
1565,false,0.401767,3.04
1575,false,0.099136,3.04
1590,false,0.006183,3.04
1595,false,0.291018,3.04
1605,false,0.007389,1.87
1620,false,0.108952,1.87
1665,false,0.007665,0.70
1670,false,0.001171,0.70
1690,false,0.005436,0.70
1695,false,0.005715,0.70
1705,false,0.009256,0.70
1710,false,0.001318,0.70
1720,false,0.007092,0.70
1735,true,0.000507,0.46
1740,true,0.004137,0.46
1755,true,0.004687,0.46
1765,true,0.004797,0.46
1805,true,0.009437,1.17
1810,true,0.000472,1.17
1855,true,0.005936,1.87
1940,true,0.003652,2.34
1950,true,0.014940,2.34
1955,true,0.002193,2.34
2010,true,0.020993,2.57
2015,true,0.002741,2.57
2020,true,0.003063,2.57
2030,true,0.003081,2.57
2040,true,0.003907,2.57
2045,true,0.008851,2.57
2055,true,0.020481,2.57
2060,true,0.005398,2.57
2065,true,0.018016,2.57
2095,true,0.006645,2.81
2120,true,0.018929,2.81
2135,true,0.010541,2.81
2160,true,0.238373,3.04
2165,true,0.086067,3.04
2170,true,0.017663,3.04
2175,true,0.003676,3.04
2180,true,0.007111,3.04
2245,true,0.003336,3.51
2255,true,0.058676,3.51
2260,true,0.007521,3.51
2265,true,0.003837,3.75
2415,true,0.026062,3.98
2440,true,0.009438,3.98
2480,true,0.045875,4.22
2510,true,0.118798,4.69
2515,true,0.004313,4.69
2520,true,0.013247,4.69
2530,true,0.004716,4.69
2545,true,0.010135,4.69
2555,true,0.028594,4.69
2575,true,0.004850,4.69
2585,true,0.038333,4.69
2590,true,0.008203,4.69
2645,true,0.040788,4.69
2650,true,0.009080,4.69
2660,true,0.010192,4.69
2670,true,0.004884,4.69
2695,true,0.078437,4.69
2710,true,0.069100,4.69
2735,true,0.055510,4.69
2750,true,0.019897,4.45
2755,true,0.020108,4.45
3955,true,0.005932,4.22
4285,false,0.461844,3.68
4660,true,0.007763,2.81
9365,true,0.028331,5.39
9425,true,0.005606,5.39
0,true,0.003555,5.39
270,true,0.025682,5.15
360,true,0.096158,5.15
365,true,0.010859,5.15
920,true,0.023295,9.38
975,true,0.019225,10.31
990,true,0.007173,10.31
995,true,0.017069,10.31
1035,true,0.013823,10.55
1045,true,0.080801,10.55
1085,true,0.033336,10.55
1125,true,0.110100,11.25
1150,true,0.123159,11.95
1155,true,0.086319,11.95
1160,true,0.114483,11.95
1170,true,0.120115,11.95
1190,true,0.117036,11.95
1200,true,0.114789,11.95
1205,true,0.016379,11.95
1215,true,0.016234,13.13
1220,true,0.701779,13.13
1225,true,0.225942,13.13
1230,true,0.012794,13.13
1235,true,0.021762,13.13
1250,true,0.054941,13.13
1260,true,0.014785,13.13
1275,true,0.120393,14.53
1295,true,0.017884,14.53
1305,true,0.036823,14.53
1315,true,0.110571,14.53
1335,true,0.019889,15.00
1345,true,0.023925,15.00
1365,true,0.020674,15.00
1375,true,0.104893,15.00
1380,true,0.027839,15.00
1385,true,0.027196,15.00
1400,true,0.071681,15.47
1415,true,0.150204,15.47
1420,true,0.037250,15.47
1430,true,0.133299,15.47
1445,true,0.141687,15.47
1450,true,0.041754,15.71
1455,true,0.034515,15.71
1700,false,2.403533,15.95
2360,true,0.315102,17.58
2450,true,0.029670,17.82
2485,true,0.056307,17.82
2515,true,0.560825,17.82
2520,true,0.039400,17.82
2530,true,0.152494,17.58
2545,true,0.010531,17.58
2555,true,0.035615,17.58
2590,true,0.179214,17.58
2605,true,0.031159,17.58
2610,true,0.155423,17.58
2630,true,0.159975,17.58
2675,true,0.036580,17.35
2695,true,0.035034,17.35
2720,true,0.035170,17.58
